yyyymm,PET.LPG.CON,PET.NAP.CON,PET.MSP.CON,PET.ATF.CON,PET.SKO.CON,PET.HSD.CON,PET.LDO.CON,PET.LUB.CON,PET.SEC.CON,PET.BIT.CON,PET.PCK.CON,PET.OTH.CON,PET.TOT.CON,Total,
01-04-1998,394.46856,596.087,447.68483,178.09228,1021.88915,3193.43381,89.10071,56.26691,835.62215,229.69221,15.04467,122.23542,7179.6177,14359.2354,
01-05-1998,392.53362,709.01074,489.86105,177.90225,1128.39596,3273.82226,99.72218,78.27624,951.92611,245.87229,25.59415,95.33241,7668.24926,15336.49852,
01-06-1998,381.08117,627.70891,461.98671,165.2739,1000.8984,3192.91495,99.90179,93.20537,930.76007,208.20435,30.72567,93.86265,7286.52394,14573.04788,
01-07-1998,438.12152,806.93441,451.38282,168.70792,934.15442,2920.60897,108.88729,77.266,1090.2394,155.27,18.60464,111.30379,7281.48118,14562.96236,
01-08-1998,415.30768,750.95225,449.51906,169.77698,969.68047,2625.25393,111.39742,88.29637,1060.63881,97.54201,38.75831,90.1822,6867.30549,13734.61098,
01-09-1998,439.55519,748.89421,451.66894,171.35715,980.35282,2713.0294,114.80639,83.38517,1158.88058,97.28599,23.06983,138.44603,7120.7317,14241.4634,
01-10-1998,447.19717,792.57878,460.16351,178.96996,1015.42636,3073.41782,102.64815,89.05306,1014.223,162.08402,53.15326,88.55108,7477.46617,14954.93234,
01-11-1998,463.63344,792.88149,439.76289,182.69306,961.75878,3250.08997,105.16183,94.49773,1146.4365,212.08284,39.70436,105.05476,7793.75765,15587.5153,
01-12-1998,483.12999,729.02047,465.21846,180.55543,1014.50872,3245.10912,114.37765,86.10258,1041.63271,228.05046,42.70085,102.76033,7733.16677,15466.33354,
01-01-1999,502.03322,890.8924,448.36505,170.56819,1036.47258,3190.70615,105.63498,99.79019,1069.36379,220.04932,19.33636,98.41259,7851.62482,15703.24964,
01-02-1999,489.49838,979.92828,452.04078,173.69294,1080.82911,3115.20323,106.4567,100.79353,1023.18323,227.02157,26.67837,91.66471,7866.99083,15733.98166,
01-03-1999,505.52953,795.81801,489.8365,194.77234,1098.32722,3423.33143,119.86469,149.13291,1187.69069,328.48159,26.39598,115.42787,8434.60876,16869.21752,
01-04-1999,444.51286,846.4625,467.38355,199.17051,981.52427,3538.46463,109.35929,80.89595,930.93482,279.99849,16.05053,98.89892,7993.65632,15987.31264,
01-05-1999,458.18681,858.32502,491.25298,179.02299,1013.98533,3470.04907,112.67232,90.39123,1000.66033,280.15321,30.78602,108.92105,8094.40636,16188.81272,
01-06-1999,461.45436,804.7323,483.65784,168.99908,1050.78477,3445.05493,115.42059,84.1596,1079.22504,224.7463,29.11364,103.21885,8050.5673,16101.1346,
01-07-1999,499.70631,927.80172,485.9342,171.35016,973.00162,3264.73641,129.65167,103.90731,1153.93522,153.39449,20.73963,105.29585,7989.45459,15978.90918,
01-08-1999,496.37989,924.5145,476.92843,172.20623,958.97831,2935.7297,124.9888,96.57674,1127.92916,151.93568,33.41718,115.11719,7614.70181,15229.40362,
01-09-1999,509.2986,1002.3491,474.00786,172.20863,981.76454,2991.18986,128.33131,91.89528,1093.60205,170.04334,28.66119,122.7269,7766.07866,15532.15732,
01-10-1999,538.63546,1021.0865,485.15135,177.89629,1009.27824,2955.50454,134.76297,131.19027,1043.87766,154.44333,26.52817,153.30678,7831.66156,15663.32312,
01-11-1999,534.61385,966.6051,494.19505,185.24736,1030.11182,3420.0356,124.04963,94.30708,1017.32314,216.01722,23.69189,206.61091,8312.80865,16625.6173,
01-12-1999,589.95056,877.2175,527.33914,186.52718,1009.05463,3547.28059,149.97594,137.63618,1034.38584,300.70807,34.69207,266.76979,8661.53749,17323.07498,
01-01-2000,594.67072,865.5661,477.90457,183.35864,974.38562,3156.60882,129.06425,99.66835,992.31799,240.45132,21.15343,265.2148,8000.36461,16000.72922,
01-02-2000,653.75961,925.775,512.43554,199.29626,955.79967,3181.90943,124.58736,111.93444,946.52986,305.31045,31.79676,261.32711,8210.46149,16420.92298,
01-03-2000,640.49729,871.41556,532.56328,205.18684,959.33479,3388.29872,128.82882,121.10948,1032.47174,401.86749,31.52925,246.71066,8559.81392,17119.62784,
01-04-2000,507.60197,911.05377,522.34188,191.02006,932.67544,3305.48017,115.54091,55.61942,926.114743,274.81604,34.32265,446.376449,8222.963502,16445.927,
01-05-2000,538.70408,1027.35376,553.73686,182.30213,975.14144,3560.88533,131.73937,68.49544,1037.257403,287.49585,53.3049,432.215379,8848.631942,17697.26388,
01-06-2000,534.14541,817.36868,545.67663,173.00439,958.54127,3285.62159,112.73196,65.89328,1002.263053,225.14149,62.29746,398.747759,8181.432972,16362.86594,
01-07-2000,554.25873,1017.09746,538.46415,178.53812,984.08797,3066.24021,118.14788,71.80988,1000.894643,147.66267,21.32914,439.216959,8137.747812,16275.49562,
01-08-2000,596.23474,1096.90839,558.04527,174.37432,953.64599,2895.58603,127.12596,69.22955,1246.119333,130.2267,25.30534,431.197539,8303.999162,16607.99832,
01-09-2000,613.46741,1050.77271,577.52472,184.66373,948.11016,3303.35934,136.95655,106.99783,1157.184373,145.09986,32.43771,440.985339,8697.559732,17395.11946,
01-10-2000,551.14687,934.39191,511.49413,187.2385,973.23089,2696.45466,104.20712,94.60989,1027.694983,158.70117,17.16742,396.272039,7652.609582,15305.21916,
01-11-2000,575.33684,1035.63293,548.45044,192.62798,893.0743,3316.39918,117.43408,72.59755,942.832523,231.20147,26.40022,419.689479,8371.676992,16743.35398,
01-12-2000,645.40995,984.07881,559.67128,186.09374,911.12956,3173.95129,113.69352,98.53862,1029.956453,259.96196,28.27317,447.685789,8438.444142,16876.88828,
01-01-2001,660.76359,1046.35048,554.82333,192.72628,945.98488,3102.46712,111.81063,86.85129,1218.87016,229.94583,53.09471,330.160387,8533.848687,17067.69737,
01-02-2001,594.62188,854.65857,540.43966,201.39701,909.52588,2972.60262,103.5218,93.95084,932.00266,242.52249,38.75546,343.791387,7827.790257,15655.58051,
01-03-2001,644.41748,903.96873,602.69177,206.21639,921.5271,3278.7749,106.10439,158.91593,1131.73012,381.15575,54.84972,468.264577,8858.616857,17717.23371,
01-04-2001,551.2,987.1,553.3,188.6,890.1,3186,98.3,61.4,985.8,258.5,144.4,366.7,8271.4,16542.8,
01-05-2001,597.2,1037.8,622.6,191.8,857.8,3384,102.9,71.2,1137.4,295.2,151.2,369.3,8818.4,17636.8,
01-06-2001,599.5,1005.8,585.7,182.2,848.9,3208.9,117.8,105.6,1127.1,198.8,158.4,382.5,8521.2,17042.4,
01-07-2001,621.7,871.3,562.2,186,853.4,2817.6,112.6,102.3,1107.8,110.5,146.5,371.2,7863.1,15726.2,
